count,n,ngram,label_1,label_2,label_3
58,5,the left testicle,,,
258,3,from c2,,,
196,3,picture and,,,
258,1,lowest,,,
258,1,syphilitic,,,
258,3,a submucosal,,,
58,5,mri brain without,,,
42,9,of the spinal cord and,,,
258,3,observed during,,,
196,3,malignant tumor,malignant,,
258,1,extrusion,,,
258,3,coronal flair,,,
58,5,and fibrous tissue,,,
258,1,ewing,,,
258,3,the hard,,,
258,1,excretion,,,
48,7,ct images before and,,,
258,1,reformation,,,
258,3,extended from,,,
183,5,intraoperative picture showing,,,
258,3,the gingival,,,
58,5,postoperative images of,,,
48,7,coherence tomography angiography (octa,,,
48,7,3 x 2 cm,,,
48,7,slc25a13 and slc10a1 genetic,,,
258,3,of-flight,,,
258,1,crossed,,,
58,5,arrow) along the,,,
258,1,facing,,,
58,5,and there are,,,
258,3,staining; original,,,
58,5,with no sign,,,
258,3,extends to,,,
258,3,spine of,,,
258,1,enhances,,,
258,1,epididymis,,,
58,5,of the calcaneus,,,
258,1,aesthetic,,,
258,3,tumor located,,,
258,3,confined to,,,
58,5,a round mass,,,
258,3,remained stable,,,
258,3,connected with,,,
58,5,treatment was started,,,
258,3,removed by,,,
258,3,in chest,,,
258,3,lesion.  (b,,,
258,3,type giant,,,
258,3,ct revealing,,,
258,3,steroid treatment,,,
258,3,on february,,,
42,9,the right lower lobe with,,,
257,3,low-set,,,
58,5,segment depression in,,,
58,5,cerebral angiography obtained,,,
257,1,zeiss,,,
257,3,dna sequencing,,,
257,1,ligated,,,
257,3,and subpleural,,,
58,5,right atrial appendage,,,
58,5,left parietal region,,,
238,3,photomicrography of,,,
58,5,and axial planes,,,
257,3,right testis,,,
58,5,months' follow-up,,,
257,1,plugs,,,
257,1,cd7,,,
257,3,intercostal space,,,
257,1,copyright,,,
257,3,pneumothorax and,,,
257,1,amplitudes,,,
48,7,the yellow arrows indicate,,,
257,1,dentin,,,
257,3,a cyst,,,
257,3,error bars,,,
257,1,diabetes,,,
257,3,long arrows,,,
58,5,marked by arrows,,,
58,5,left mainstem bronchus,,,
48,7,sinus dural arteriovenous fistula,,,
256,1,juvenile,,,
256,3,arteries in,,,
48,7,days after initial presentation,,,
180,3,mucosal surface,,,
180,3,muscle fiber,,,
58,5,nuclear/cytoplasmic ratio,,,
256,1,buttock,,,
256,3,1 was,,,
256,3,sinuses and,,,
48,7,showed a mass in,,,
58,5,and radiographic images,,,
256,1,supraspinatus,,,
256,3,the polyp,,,
162,7,haematoxylin and eosin stain,h&e,,
256,1,commissure,,,
256,3,patchy areas,,,
58,5,differentiated tubular adenocarcinoma,,,
256,3,lobe.  the,,,
256,1,transcripts,,,
58,5,distal bile duct,,,
215,3,yellow line,,,
256,3,measuring about,,,
256,3,measuring 6,,,
256,3,3-4,,,
256,1,mma,,,
58,5,the right mid,,,
58,5,with nuclear pleomorphism,,,
256,3,has an,,,
256,1,simplex,,,
256,3,sample was,,,
256,1,locally,,,
58,5,with pleural effusion,,,
48,7,cystic dilatation of the,,,
256,1,please,,,
48,7,showing a decrease in,,,
58,5,enhancement after contrast,,,
58,5,post-contrast enhancement,,,
48,7,images of the hip,,,
256,1,participants,,,
256,1,dramatically,,,
58,5,blood flow (cbf,,,
48,7,years and 4 months,,,
256,3,uptake is,,,
256,3,of common,,,
256,3,parallel to,,,
256,3,after denosumab,,,
256,3,staining on,,,
256,1,reflect,,,
256,3,intense fdg,,,
58,5,serial chest radiographs,,,
256,3,means of,,,
256,3,chromatogram of,,,
256,3,steroid pulse,,,
58,5,esophagogastroduodenoscopy images of,,,
58,5,of the therapy,,,
58,5,aortic valve replacement,,,
58,5,and it is,,,
256,3,showing air,,,
58,5,chest high-resolution,,,
58,5,mass measuring 5,,,
58,5,4 years and,,,
58,5,"axial, coronal and",,,
48,7,maxillary left central incisor,,,
42,9,of the proband and her,,,
256,3,wound was,,,
58,5,chest ct revealed,,,
256,1,microcystic,,,
256,1,profiling,,,
256,1,expandable,,,
178,3,corneal stroma,,,
256,1,carefully,,,
256,3,progression and,,,
58,5,upper lobe nodule,,,
58,5,4 mm in,,,
58,5,the pancreas (arrow,,,
256,3,with similar,,,
256,3,demonstrating extensive,,,
58,5,mri features of,,,
58,5,2 weeks later,,,
256,3,tube and,,,
58,5,resulting from the,,,
256,3,the superotemporal,,,
48,7,the three cases.  (a,,,
256,3,diameter with,,,
58,5,up brain mri,,,
256,3,a bilateral,,,
256,3,confirmed to,,,
256,1,oesophagus,,,
256,1,fractions,,,
256,3,leg and,,,
256,3,angiography on,,,
256,1,frames,,,
256,3,catheter and,,,
256,1,castleman,,,
256,3,white star,,,
58,5,intensity area in,,,
59,5,v1 and v2,,,
256,3,is apparent,,,
59,5,and large bowel,,,
256,3,aneurysmal dilatation,,,
59,5,and abundant cytoplasm,,,
256,3,b-cells,,,
59,5,non-caseating granulomas,,,
48,7,mass with diffuse lymphadenopathy,,,
256,3,occurred in,,,
256,3,41-year,,,
59,5,a saccular aneurysm,,,
59,5,continuous renal replacement,,,
59,5,the same mutation,,,
48,7,maximum intensity projection images,,,
48,7,anterior superior iliac spine,,,
256,3,morphologic features,,,
59,5,dwi and adc,,,
256,3,arch with,,,
59,5,patient's hands,,,
59,5,into the bladder,,,
59,5,and after 3,,,
256,3,to spindle,,,
256,1,reversed,,,
256,3,of benign,,,
48,7,images from case 2,,,
59,5,tubular basement membrane,,,
59,5,b cell lymphoma,,,
48,7,thoracic and lumbar spine,,,
256,3,component in,,,
256,3,or other,,,
48,7,61-year-old female,,,
256,1,enriched,,,
256,1,acceptable,,,
166,3,dermis (h,,,
256,1,splitting,,,
59,5,after initial treatment,,,
59,5,in the study,,,
59,5,on first admission,,,
59,5,external jugular vein,,,
256,3,no visible,,,
255,1,irrigation,,,
59,5,up to 7,,,
255,3,foamy histiocytes,,,
255,1,audiogram,,,
255,3,showed low,,,
255,1,vater,,,
255,3,caudate lobe,abdomen,,
255,1,subsegmental,,,
255,3,and lingual,,,
255,3,with vascular,,,
255,1,remain,,,
255,3,the mr,,,
255,1,splint,,,
255,3,13 months,,,
192,3,of metastasis,,,
255,1,slender,,,
255,1,encircling,,,
59,5,"left atrium, lv",,,
255,1,posture,,,
255,3,multiple liver,,,
255,3,and dilatation,,,
255,3,intraoperative views,,,
59,5,at different times,,,
176,3,fatty infiltration,,,
255,1,latissimus,,,
48,7,with air-fluid level,,,
255,3,collateral vessels,,,
255,1,salt,,,
192,3,multiple metastatic,,,
255,3,12 and,,,
175,3,breast tissue,,,
59,5,he x 100,,,
255,3,brain.  (a,,,
255,1,remnants,,,
255,1,bowman,,,
174,3,muscle tissue,,,
59,5,invasive ductal carcinoma,,,
254,1,fixator,,,
59,5,the cervical esophagus,,,
59,5,endoscopic image showing,,,
59,5,in both patients,,,
48,7,6 weeks after the,,,
59,5,severe tricuspid regurgitation,,,
229,5,photograph of a,,,
254,1,neonate,,,
59,5,mri was performed,,,
254,3,exhibited a,,,
254,3,ventricle; rv,,,
48,7,74-year-old male,,,
59,5,the bottom right,,,
254,3,form a,,,
254,3,tumor.  (d,,,
48,7,located adjacent to the,,,
254,1,homogenously,,,
254,3,limited to,,,
59,5,"cta, computed tomography",,,
254,1,usually,,,
254,3,opacity with,,,
48,7,74-year-old woman,,,
254,3,the stenotic,,,
188,5,metastasis to the,,,
254,3,cytology of,,,
254,3,to assess,,,
48,7,located at the left,,,
254,3,herpes zoster,,,
254,1,temporally,,,
254,3,proband is,,,
254,3,presenting as,,,
254,3,inferior temporal,,,
59,5,and left circumflex,,,
254,1,autograft,,,
254,5,ct abdomen showing,,,
160,7,and eosin staining showed,,,
254,3,showing pulmonary,,,
254,3,"ventricle, and",,,
59,5,the radial nerve,,,
160,9,hematoxylin and eosin stain of,,,
59,5,as a control,,,
254,1,kept,,,
48,7,with b-cell disorders,,,
158,3,section stained,,,
48,7,mri showed that the,,,
59,5,"computed tomography, and",,,
254,3,lesion from,,,
254,1,fill,,,
254,3,findings.  (e,,,
59,5,estimated glomerular filtration,,,
254,3,who was,,,
254,1,ostial,,,
254,3,right orbit,,,
254,3,a lytic,,,
158,5,positive immunohistochemical staining,,,
59,5,with right-sided,,,
254,3,the arteriovenous,,,
254,1,transoesophageal,transesophageal,thorax,
59,5,anti-pd-l1,,,
254,3,alteration of,,,
254,3,occupied by,,,
254,1,thrombocytopenia,,,
254,3,the septal,,,
254,3,of pituitary,,,
254,3,magnified view,,,
59,5,d) h&e,,,
214,1,delineation,,,
254,3,the airway,,,
254,3,yellow and,,,
254,1,treat,,,
59,5,columnar epithelial cells,,,
254,1,considerable,,,
254,3,small cystic,,,
254,3,the lead,,,
59,5,in the uterus,,,
254,3,therapy of,,,
254,1,hemostasis,,,
188,7,size of the metastatic,,,
59,5,left uterine artery,,,
254,3,stain showed,,,
254,3,previously described,,,
254,3,absorption of,,,
186,3,metastases after,,,
254,3,shows hyperintense,,,
254,3,cords of,,,
254,3,abnormal uptake,,,
60,5,phenotypic manifestations of,,,
254,3,region is,,,
254,3,charts of,,,
182,3,bone metastasis,,,
60,5,case 2.  (f,,,
60,5,chest wall mass,,,
254,3,ct section,,,
254,1,genu,,,
48,7,4 x 3 cm,,,
254,3,on follow,,,
254,3,guided biopsy,,,
48,7,there is a small,,,
60,5,vena cava filter,,,
60,5,the posterior circulation,,,
254,3,to this,,,
254,3,the basement,,,
60,5,"and eosin, x40",,,
60,5,and mri scans,,,
254,3,uptake on,,,
60,5,left side) and,,,
254,3,tomography reveals,,,
42,9,bilateral teratomas (immature and mature,,,
254,1,urachal,,,
254,3,with granular,,,
254,3,s methenamine,,,
254,3,with features,,,
60,5,the proximal jejunum,,,
60,5,in the literature,,,
60,5,vessels (h&e,,,
254,3,the membrane,,,
254,3,the cysts,,,
60,5,physical examination of,,,
254,1,sphenoidal,head,,
254,1,demodicosis,,,
254,3,of deep,,,
254,3,urinary tract,,,
253,3,transition of,,,
170,3,tubular basement,,,
253,3,and 24,,,
60,5,of clinical course,,,
253,3,revealing multiple,,,
253,1,ones,,,
253,3,0. 01,,,
253,3,c) in,,,
60,5,laboratory assessment in,,,
218,5,the neck showing,,,
253,3,and mass,,,
253,1,cirrhosis,,,
253,3,epidural mass,,,
60,5,the first consultation,,,
253,1,2007,,,
60,5,of the anastomosis,,,
253,3,right uterine,,,
253,3,day 15,,,
253,3,top left,,,
253,3,and fifth,,,
253,3,orbital apex,,,
60,5,of the acetabulum,,,
253,1,postembolization,,,
252,3,colon cancer,,,
252,3,were located,,,
252,3,the vastus,,,
252,1,concentrated,,,
60,5,upper gastrointestinal series,,,
252,3,lobe bronchus,,,
252,3,globus pallidus,head,,
252,3,presentation.  the,,,
252,3,"t2, and",,,
252,1,investigations,,,
252,3,mass (black,,,
252,3,"effusion, and",,,
60,5,anaplastic lymphoma kinase,,,
252,3,tumor has,,,
252,3,volume in,,,
252,3,"space, and",,,
252,3,contains a,,,
252,3,ecg showing,,,
60,5,on chest ct,,,
60,5,from the lesion,,,
60,5,premature stop codon,,,
252,3,surrounding soft,,,
252,3,is now,,,
48,7,appearance of the tumour,,,
60,5,from covid-19,,,
252,3,views demonstrating,,,
252,1,zikv,,,
60,5,the pathology of,,,
226,3,photography and,,,
252,3,spindle and,,,
252,1,hypertelorism,,,
252,3,and have,,,
252,3,cell neuroendocrine,,,
48,7,slit-lamp images of,,,
252,3,an mri,,,
60,5,the patellar tendon,,,
60,5,the pathological diagnosis,,,
252,3,periventricular and,,,
252,1,constant,,,
252,3,of temporal,,,
252,1,ninth,,,
252,1,heel,,,
60,5,primary lung tumor,,,
60,5,fundus images of,,,
252,3,previously reported,,,
60,5,blood cell (wbc,,,
252,1,eyelids,,,
252,3,transbronchial lung,,,
60,5,along with an,,,
60,5,of right hand,,,
252,1,prepontine,head,,
60,5,an axial ct,,,
60,5,body positron emission,,,
252,1,registered,,,
252,3,cord with,,,
60,5,uptake value (suv,,,
252,3,scan during,,,
48,7,scan with contrast showing,,,
60,5,a-f) the,,,
60,5,the cardiac cycle,,,
252,1,cf,,,
252,3,inflammatory myofibroblastic,,,
42,9,imaging of the lumbar spine,,,
60,5,pointed by the,,,
60,5,the muscle fibers,,,
48,7,coronal section of the,,,
252,1,inflation,,,
60,5,of a high,,,
252,3,staining is,,,
252,3,bilateral optic,,,
252,3,be noted,,,
252,3,subluxation of,,,
60,5,after endovascular treatment,,,
252,3,recurrence and,,,
252,1,trees,,,
252,3,in vitro,,,
60,5,flair image shows,,,
252,3,e x400,,,
60,5,transthoracic and transesophageal,,,
252,1,confidence,,,
252,3,was later,,,
252,3,"i,j",,,
252,3,almost all,,,
252,3,optic disk,,,
252,3,mri) at,,,
252,3,gall bladder,,,
252,3,sequences are,,,
60,5,the atrial septum,,,
252,3,brain showed,,,
60,5,the negative control,,,
252,3,variation in,,,
252,3,in anteroposterior,,,
60,5,of kidney biopsy,,,
60,5,the histology of,,,
42,9,and genetic analysis of the,,,
252,3,from admission,,,
252,3,with suspected,,,
252,3,ct value,,,
252,1,blocks,,,
252,1,moreover,,,
252,1,incidentally,,,
252,3,completely resolved,,,
48,7,magnetic resonance images at,,,
252,3,organizing pneumonia,,,
252,3,and several,,,
252,1,survey,,,
252,3,therapy showed,,,
60,5,large white arrow,,,
252,3,showing progressive,,,
252,1,11th,,,
60,5,for 3 months,,,
252,3,addition of,,,
252,1,familial,,,
252,1,oncocytic,,,
252,3,femur with,,,
252,3,on november,,,
252,3,bar: 100,,,
251,1,stainings,,,
251,3,to posterior,,,
251,3,plain film,,,
251,3,right-side,,,
251,1,genitalia,,,
168,3,arterial wall,,,
42,9,the right main pulmonary artery,,,
251,3,"crp, c",,,
251,1,french,,,
251,1,pbmc,,,
48,7,lung involvement in ssc,,,
251,1,cardiomyopathy,,,
251,1,olecranon,,,
251,3,and acute,,,
251,3,and mesangial,,,
60,5,perivascular lymphocytic infiltrate,,,
251,1,paving,,,
60,5,by ki-67,,,
251,3,on december,,,
251,1,persisting,,,
60,5,giant cells (arrows,,,
251,3,in-stent,,,
251,3,an expansile,,,
251,3,brain atrophy,,,
251,1,hyperostosis,,,
48,7,multimodal imaging of both,,,
250,3,also in,,,
250,3,activity is,,,
60,5,by fibrous tissue,,,
250,3,tumor before,,,
250,3,patient (case,,,
250,3,severity of,,,
60,5,and portal vein,,,
250,3,back pain,,,
60,5,"sd-oct, spectral",,,
250,1,transsphenoidal,,,
250,1,improvements,,,
48,7,are found in the,,,
250,3,a larger,,,
250,3,anterior temporal,,,
250,3,the partial,,,
250,3,of onset,,,
250,3,right heart,,,
250,1,varix,,,
250,3,scans demonstrating,,,
48,7,during the disease course,,,
250,1,verocay,,,
60,5,clinical findings at,,,
250,3,cranial computed,,,
250,3,a recurrent,,,
250,3,hand showing,,,
250,3,fracture site,,,
250,3,the ultrasound,,,
250,3,data not,,,
250,1,context,,,
60,5,iliac artery aneurysm,,,
250,1,help,,,
60,5,white arrows show,,,
250,1,responsive,,,
250,3,of axial,,,
250,3,"mass, and",,,
60,5,on the head,,,
60,5,arrow) adjacent to,,,
250,1,try,,,
250,1,astrocytic,,,
250,3,surgery was,,,
250,3,marked reduction,,,
250,3,of medial,,,
48,7,images showing fluorodeoxyglucose avid,,,
60,5,white matter changes,,,
60,5,the whole treatment,,,
60,5,on the tumor,,,
250,3,shows resolution,,,
60,5,0. 5 x,,,
60,5,clinical and genetic,,,
60,5,year after treatment,,,
250,3,anteriorly and,,,
250,3,cbct images,,,
250,1,devices,,,
250,3,ring cell,,,
250,1,limbal,,,
60,5,a 76-year,,,
48,7,in the index patient,,,
250,1,neurosensory,,,
48,7,and after osimertinib administration,,,
60,5,nerve (white arrow,,,
250,3,vascular structures,,,
250,3,roof of,,,
60,5,the stent-graft,,,
60,5,with lung cancer,,,
250,3,lobe lesion,,,
60,5,mri sequences of,,,
60,5,a 31-year,,,
250,3,ocular demodicosis,,,
250,1,probable,,,
250,3,necrosis is,,,
250,1,vesical,,,
250,3,igg and,,,
48,7,positron emission tomography images,,,
250,3,medial side,,,
48,7,after surgical resection of,,,
250,3,mg/m2,,,
250,3,large lymphoid,,,
60,5,and the remaining,,,
250,3,ligament of,,,
60,5,scale bars: 100,,,
60,5,negative for cd34,,,
254,5,ct abdomen and,,,
250,1,mibg,,,
250,3,multiple pulmonary,,,
250,3,protein and,,,
60,5,reversible encephalopathy syndrome,,,
60,5,x 24 mm,,,
250,3,artery dissection,,,
250,3,phase shows,,,
48,7,by a white arrow,,,
60,5,slice thickness of,,,
60,5,the straight sinus,,,
250,1,moving,,,
60,5,mature cystic teratoma,,,
60,5,the stomach wall,,,
250,3,images through,,,
60,5,mri evidence of,,,
250,3,"pd, progressive",,,
60,5,mass (black arrow,,,
250,3,multiple nodular,,,
60,5,n/c ratio,,,
48,7,bilateral pleural effusions and,,,
250,1,bowing,,,
48,7,bilateral pleural effusion and,,,
206,3,bladder neck,abdominopelvic_region,,
250,3,osteoclast-like,,,
250,3,s abdomen,,,
250,3,lateral femoral,,,
250,3,vertebral arteries,axial_region,,
250,1,turbinate,,,
250,3,stains for,,,
250,3,pars plana,,,
60,5,arrow) due to,,,
60,5,ct and pet,,,
250,3,of knee,,,
250,3,a fracture,,,
60,5,ct image after,,,
60,5,imaging with contrast,,,
250,3,wound with,,,
249,3,preoperative sagittal,,,
249,3,case #2,,,
249,1,pro,,,
249,3,ethmoid sinus,head,,
249,3,like a,,,
249,3,and gastric,,,
249,3,family 2,,,
60,5,marked by an,,,
43,9,with a small amount of,,,
60,5,anterior cerebral arteries,,,
60,5,ct images from,,,
249,3,the arm,,,
60,5,cycles of immunotherapy,,,
249,3,anterior horn,,,
60,5,this image shows,,,
249,3,l3-4,,,
61,5,one year later,,,
249,1,urography,,,
48,7,performance errors in blue,,,
249,3,of prostate,,,
43,9,computed tomography (ct) images showing,,,
249,3,"e, 200x",,,
61,5,chest ct before,,,
249,3,weeks postoperatively,,,
249,3,like appearance,,,
249,3,sheet-like,,,
156,5,h&e) stained,,,
248,3,show increased,,,
248,3,woman presenting,,,
61,5,ivc: inferior vena,,,
61,5,treatment with apatinib,,,
248,3,intra- and,,,
248,3,his right,,,
61,5,were also noted,,,
248,3,"addition, there",,,
48,7,the head without contrast,,,
248,3,with elongated,,,
248,3,nerve conduction,,,
248,3,with those,,,
223,9,fundus photograph of the right,,,
248,3,diffuse alveolar,,,
248,1,elbows,elbow,,
248,3,the intramedullary,,,
248,3,"months (. , and",,,
248,3,cerebral edema,,,
248,3,preoperative axial,,,
248,3,published with,,,
248,3,predominance of,,,
248,3,circumflex coronary,,,
48,7,of the false lumen,,,
248,3,the ophthalmic,,,
248,1,antiviral,,,
248,3,the improvement,,,
248,3,front view,frontal,,
248,3,huge mass,,,
248,3,the individual,,,
248,3,back to,,,
61,5,narrow-band imaging,nbi,,
61,5,gross findings of,,,
248,3,the margins,,,
248,3,central nervous,,,
61,5,is not visualized,,,
248,3,the section,,,
61,5,a novel splice,,,
248,3,structure was,,,
248,1,transhepatic,,,
61,5,pd-1 therapy,,,
61,5,bar: 200 mum,,,
248,3,bone density,,,
248,3,a mediastinal,,,
248,3,patient achieved,,,
248,3,"respectively, showing",,,
248,3,lesion along,,,
248,3,lobe (white,,,
248,3,highlight the,,,
248,3,blood samples,,,
248,3,in continuity,,,
248,3,the reconstruction,,,
248,3,bone was,,,
248,3,an ulcerated,,,
61,5,by white arrow,,,
248,3,up in,,,
248,3,"addition, the",,,
248,3,the surgically,,,
248,1,desquamation,,,
61,5,with vesicular nuclei,,,
248,3,anterior displacement,,,
61,5,3d reconstruction image,,,
48,7,pet-ct images of,,,
248,3,onset.  the,,,
61,5,non-enhanced ct,,,
248,3,with perivascular,,,
248,3,"staining, magnification",,,
248,3,on june,,,
222,5,slit lamp photograph,slit_lamp_photograph,,
61,5,left adrenal tumor,,,
248,3,and free,,,
248,3,postoperative pathology,,,
48,7,after one month of,,,
248,3,of partial,,,
248,3,lacrimal gland,,,
48,7,"atrium; la, left atrium",,,
248,3,of abundant,,,
248,3,lumbar vertebra,abdominopelvic_region,,
248,3,effusion was,,,
248,3,dimensions of,,,
248,3,added to,,,
248,3,a 56,,,
61,5,cells are observed,,,
48,7,the arrows show the,,,
61,5,t1-weighted enhanced,,,
156,5,and stained as,,,
248,3,bilateral occipital,,,
61,5,the optic disk,,,
248,3,the relative,,,
61,5,programmed cell death,,,
248,3,section through,,,
61,5,3-d reconstruction,,,
61,5,hodgkin's lymphoma,,,
248,3,elevations in,,,
248,3,prostate and,,,
248,3,ratio and,,,
61,5,into the duodenum,,,
248,1,convex,,,
248,3,a clinical,,,
48,7,treated with oncolytic virotherapy,,,
61,5,right first molar,,,
248,1,upright,,,
61,5,field of view,,,
61,5,suggestive of acute,,,
248,3,brainstem and,,,
154,3,of staining,,,
248,3,year history,,,
248,3,a) after,,,
61,5,7 x 5,,,
248,1,segregation,,,
248,3,the choroid,,,
61,5,and the green,,,
61,5,the gastroduodenal artery,,,
248,3,24-year,,,
61,5,contrast-enhanced coronal,,,
248,3,collection and,,,
248,3,after left,,,
248,3,from previous,,,
248,3,clinical image,,,
61,5,the gray matter,,,
48,7,of the hepatic artery,,,
248,3,and descending,,,
248,1,openings,,,
248,3,dark brown,,,
248,1,coding,,,
248,3,multiple air,,,
62,5,immune checkpoint inhibitor,,,
248,1,consolidative,,,
62,5,the family members,,,
248,3,right popliteal,,,
248,3,and fusion,,,
248,3,s serum,,,
248,3,the prior,,,
62,5,around blood vessels,,,
62,5,western blot analysis,,,
248,3,evoked potentials,,,
248,3,luminal narrowing,,,
62,5,at the admission,,,
62,5,the excised mass,,,
166,3,stratum corneum,,,
62,5,bilateral pulmonary nodules,,,
248,3,callosum and,,,
247,3,large nuclei,,,
247,1,met,,,
247,3,23-year,,,
247,3,and below,,,
247,3,and muscle,,,
247,1,arcade,,,
247,1,powered,,,
247,1,monotherapy,,,
247,3,vascular lesion,,,
247,3,in short,,,
247,1,circumferentially,,,
247,3,dot-like,,,
247,1,seeds,,,
62,5,internal auditory canal,,,
247,1,infra,,,
247,3,operative day,,,
247,1,angular,,,
247,1,international,,,
247,1,tv,,,
62,5,the granulation tissue,,,
48,7,"inflammatory, coagulation function, and",,,
247,3,is/os,,,
247,3,supine position,,,
247,3,endotracheal tube,,,
62,5,iliac lymph node,,,
157,5,the superficial dermis,,,
62,5,of the b,,,
247,1,intraorbital,,,
62,5,mr images at,,,
247,1,mo,,,
247,3,and 11,,,
247,1,mineralization,,,
246,3,presentation.  (a,,,
246,3,path of,,,
246,1,microphotographs,,,
246,3,germ cell,,,
246,3,of whole,,,
216,7,lamp photographs of the,,,
246,1,station,,,
246,3,inversion in,,,
62,5,and treatment process,,,
62,5,the operative area,,,
62,5,time of discharge,,,
246,3,a) anteroposterior,,,
246,3,region was,,,
246,3,to 7,,,
246,3,signal hyperintensity,,,
246,3,oct) images,,,
62,5,differentiated adenocarcinoma with,,,
62,5,in the centre,,,
246,1,sent,,,
62,5,ct of chest,,,
246,3,equal to,,,
62,5,b) sagittal t2,,,
246,3,of size,,,
246,3,still present,,,
246,3,discoloration of,,,
246,3,arrowheads) with,,,
246,3,to create,,,
246,3,sural nerve,,,
48,7,of the distal esophagus,,,
246,3,main trunk,,,
246,3,excision and,,,
246,3,sclerosis of,,,
246,3,"cortex, and",,,
48,7,uterine mass with diffuse,,,
246,3,fibrosis in,,,
246,3,block with,,,
48,7,by magnetic resonance imaging,,,
62,5,in this area,,,
62,5,medial temporal lobes,,,
62,5,in this region,,,
246,3,fields of,,,
182,5,clinical picture of,,,
62,5,imaging findings after,,,
212,7,timeline of the patient,,,
62,5,level of c2,,,
62,5,left renal pelvis,,,
62,5,eosin (he) and,,,
62,5,chest radiograph and,,,
246,3,showing presence,,,
48,7,at the emergency department,,,
246,3,the splenium,,,
246,3,hepatic lesions,,,
246,3,ring-like,,,
48,7,from the aortic arch,,,
246,3,circle indicates,,,
246,3,an isolated,,,
246,3,indicating an,,,
48,7,the patient at presentation,,,
62,5,axial mri of,,,
246,3,eosinophils in,,,
246,3,the female,,,
246,3,ventral side,,,
246,3,pulmonary arterial,,,
246,1,plasmapheresis,,,
246,3,occupied the,,,
48,7,intra-operative image of,,,
246,3,diameter and,,,
246,1,calvarium,,,
246,3,space was,,,
48,7,the distal bile duct,,,
246,3,with perilesional,,,
246,1,interbody,,,
246,1,engorged,,,
246,1,endocarditis,,,
246,1,gemcitabine,,,
48,7,preoperative imaging of the,,,
246,3,replacement therapy,,,
246,3,papillary carcinoma,,,
246,3,heterogeneous signal,,,
62,5,membrane antigen (ema,,,
246,3,severe mitral,,,
246,3,d) show,,,
246,3,joint with,,,
62,5,weeks after presentation,,,
48,7,two-year follow-up,,,
246,3,reaction in,,,
246,1,lca,,,
62,5,year-old lady,,,
62,5,in the tissue,,,
246,1,mta,,,
246,3,pedicle screw,,,
246,3,the peak,,,
246,3,inferior aspect,,,
246,1,immunostained,immunostaining,,
62,5,lesions (red arrows,,,
62,5,in the tumour,,,
246,3,igg4-related,,,
138,5,of the dermis,,,
246,1,hyperreflectivity,,,
62,5,indicated time points,,,
246,3,depiction of,,,
246,3,imaging demonstrated,,,
246,3,flow voids,,,
62,5,selective angiography of,,,
246,1,wash,,,
48,7,pre- and post-treatment,,,
246,3,inferior epigastric,,,
62,5,on day 11,,,
62,5,left inferior pulmonary,,,
246,3,weight-bearing,,,
246,3,third and,,,
246,3,mri (t2,,,
62,5,left iliac fossa,,,
246,3,statistically significant,,,
246,3,of peritoneal,,,
179,5,metastatic lymph node,,,
246,3,of extensive,,,
246,3,scanning electron,,,
246,3,gland was,,,
246,3,defects of,,,
246,1,hyperenhancement,,,
62,5,to the macula,,,
245,3,left axilla,,,
245,3,m-mode,m_mode,,
43,9,in the right maxillary sinus,,,
245,3,for 6,,,
245,3,fusiform aneurysm,,,
245,1,ab,,,
62,5,and a thickened,,,
62,5,a schematic illustration,,,
245,1,a3,,,
245,3,the ratio,,,
43,9,emission tomography and computed tomography,,,
245,3,a to,,,
245,3,stent-graft,,,
245,3,and 15,,,
245,1,ptc,,,
245,3,10 weeks,,,
245,3,different sizes,,,
245,3,uterine cavity,pelvis,,
62,5,bilateral cerebral hemispheres,,,
245,3,10-year,,,
245,3,transvaginal ultrasound,,,
245,1,glycogen,,,
245,3,with ill,,,
245,3,volume rendered,,,
62,5,ct showed multiple,,,
43,9,t1- and t2-weighted mri,,,
245,3,b) three,,,
245,1,afferent,,,
245,1,bedside,,,
245,3,14 mm,,,
62,5,x 22 mm,,,
245,3,"2, 3",,,
245,1,augmented,,,
245,1,subependymal,,,
245,3,focally positive,,,
245,3,pigtail catheter,,,
244,3,epidermis and,,,
62,5,density area in,,,
48,7,of the three families,,,
244,3,at 35,,,
244,1,molecules,,,
244,3,the density,,,
94,5,ciliated columnar epithelium,,,
244,3,factor-1,,,
62,5,18-fluorodeoxyglucose positron,,,
244,3,loops with,,,
244,3,mri was,,,
244,3,case and,,,
244,3,dsa images,,,
244,1,crosses,,,
244,3,of sanger,,,
244,3,left sphenoid,,,
244,3,the glenoid,,,
244,3,extra-articular,,,
244,3,case 7,,,
244,3,mri) scan,,,
62,5,on day 16,,,
48,7,the outer plexiform layer,,,
62,5,resection and reconstruction,,,
244,1,800,,,
48,7,analysis of the tumor,,,
62,5,filled with blood,,,
244,3,cava (ivc,,,
48,7,of the aortic stump,,,
244,3,superior aspect,,,
244,1,osteopenia,,,
244,3,radiographs taken,,,
62,5,the circumflex artery,,,
244,1,exacerbation,,,
244,3,aortic wall,,,
244,1,choledochal,,,
244,3,strong cytoplasmic,,,
212,5,photomicrography of the,,,
244,1,cannulated,,,
62,5,of ct images,,,
244,3,sac with,,,
62,5,vagus nerve stimulation,,,
244,3,ciliated columnar,,,
244,1,letters,,,
244,3,with ring,,,
